reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
842,United States of America,032,Argentina,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28636,132101,40963,861,0,345,0,54,0,0
842,United States of America,086,British Indian Ocean Territory,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27656,0,0,0,0,0,0,0,0
842,United States of America,100,Bulgaria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30342,0,0,0,0,0,0
842,United States of America,112,Belarus,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22523,0,0,0,0,0
842,United States of America,136,Cayman Islands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
842,United States of America,191,Croatia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72893,89426,38478,0,0,73585,0,0
842,United States of America,212,Dominica,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28500,0,0,0
842,United States of America,268,Georgia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,0,0,0,0,0,0,0,0
842,United States of America,292,Gibraltar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16225,31955,0,0,0,0,0,0,0
842,United States of America,344,"Hong Kong, China",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109225,0,0,0,0,0,0,0,0
842,United States of America,440,Lithuania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39471,90541,36480,140979,583399,0,62559
842,United States of America,484,Mexico,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",892,47,20,5,286,0,0,0,0,31,0,0,0,0,0,0,69659,0,0,0,0,0,0,0
842,United States of America,584,Marshall Islands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19752,0,0,0,0,0,0,0,0,0
842,United States of America,586,Pakistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207990
842,United States of America,598,Papua New Guinea,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4982,0,0,0,0,0,42250,0,0,0
842,United States of America,608,Philippines,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15669,0,0,0,0,0,0
842,United States of America,662,Saint Lucia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98592,0,0,0,0,0
842,United States of America,768,Togo,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47633,0,0,0,0,0,0,0,0
842,United States of America,780,Trinidad and Tobago,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27340,0,0,0,0,0,0,0,0
842,United States of America,804,Ukraine,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107118,78842,0,0,0,0,0
842,United States of America,818,Egypt,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842,United States of America,862,"Venezuela, Bolivarian Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
