reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
842,United States of America,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,65312.000,Cubic meters,84861.000,Cubic meters,328165.000,Cubic meters,205424.000,Cubic meters,825855.000,Cubic meters,126882.000,Cubic meters,0,,701911.000,Cubic meters,635444.000,Cubic meters,1196449.000,Cubic meters
842,United States of America,591,Panama,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,182877.000,Cubic meters,111300.000,Cubic meters,80105.000,Cubic meters,1869055.000,Cubic meters,1410390.000,Cubic meters,1021453.000,Cubic meters,1219839.000,Cubic meters,1797004.000,Cubic meters,2828339.000,Cubic meters,1188887.000,Cubic meters
842,United States of America,858,Uruguay,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",115.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,265521.000,Cubic meters,892514.000,Cubic meters,977154.000,Cubic meters,972017.000,Cubic meters,2110928.000,Cubic meters,636971.000,Cubic meters,224192.000,Cubic meters,1095129.000,Cubic meters
842,United States of America,246,Finland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,117767.000,Cubic meters,0,,516031.000,Cubic meters,973983.000,Cubic meters,816627.000,Cubic meters,1049645.000,Cubic meters
842,United States of America,616,Poland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,93544.000,Cubic meters,557736.000,Cubic meters,892501.000,Cubic meters,0,,211460.000,Cubic meters,1872457.000,Cubic meters,1987863.000,Cubic meters,753371.000,Cubic meters,899072.000,Cubic meters
842,United States of America,558,Nicaragua,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,248068.000,Cubic meters,127294.000,Cubic meters,330273.000,Cubic meters,522913.000,Cubic meters,525631.000,Cubic meters,533639.000,Cubic meters,515671.000,Cubic meters,606632.000,Cubic meters,804009.000,Cubic meters,708965.000,Cubic meters
842,United States of America,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,210252.000,Cubic meters,835124.000,Cubic meters,222272.000,Cubic meters,319844.000,Cubic meters,1063304.000,Cubic meters,100170.000,Cubic meters,515033.000,Cubic meters
842,United States of America,586,Pakistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,499275.000,Cubic meters
842,United States of America,620,Portugal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,348428.000,Cubic meters,0,,976867.000,Cubic meters,1046901.000,Cubic meters,688922.000,Cubic meters,530863.000,Cubic meters,1472591.000,Cubic meters,448061.000,Cubic meters
842,United States of America,792,Türkiye,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,164.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,80747.000,Cubic meters,0,,0,,0,,0,,0,,390431.000,Cubic meters,293704.000,Cubic meters,170311.000,Cubic meters
842,United States of America,704,Viet Nam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,596547.000,Cubic meters,856766.000,Cubic meters,249487.000,Cubic meters,294150.000,Cubic meters,158889.000,Cubic meters,63993.000,Cubic meters,166852.000,Cubic meters
842,United States of America,757,Switzerland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,376614.000,Tons,711281.000,Cubic meters,890742.000,Cubic meters,199191.000,Cubic meters,253400.000,Cubic meters,277332.000,Cubic meters,233333.000,Cubic meters,813628.000,Cubic meters,244065.000,Cubic meters,0,,112333.000,Cubic meters,135405.000,Cubic meters
842,United States of America,440,Lithuania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,104599.000,Cubic meters,326102.000,Cubic meters,116007.000,Cubic meters,228006.000,Cubic meters,1165373.000,Cubic meters,0,,117022.000,Cubic meters
842,United States of America,152,Chile,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,382.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,640952.000,Cubic meters,2063742.000,Cubic meters,1483675.000,Cubic meters,828638.000,Cubic meters,332231.000,Cubic meters,225661.000,Cubic meters,13.000,Cubic meters,21737.000,Cubic meters
842,United States of America,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,252459.000,Cubic meters,272675.000,Cubic meters,84055.000,Cubic meters,153417.000,Cubic meters,0,,119994.000,Cubic meters,7626.000,Cubic meters
842,United States of America,340,Honduras,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,69.000,Cubic meters,27.000,Cubic meters
842,United States of America,136,Cayman Islands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7.000,Cubic meters
842,United States of America,012,Algeria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3.000,Cubic meters,0,
842,United States of America,032,Argentina,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,88755.000,Cubic meters,382699.000,Cubic meters,121067.000,Cubic meters,2107.000,Cubic meters,0,,1337.000,Cubic meters,0,,115.000,Cubic meters,0,,0,
842,United States of America,044,Bahamas,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,155483.000,Cubic meters,1062683.000,Cubic meters,152662.000,Cubic meters,0,,1070847.000,Cubic meters,0,,189492.000,Cubic meters,0,,28.000,Cubic meters,0,
842,United States of America,060,Bermuda,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.000,Cubic meters,0,
842,United States of America,086,British Indian Ocean Territory,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,79285.000,Cubic meters,0,,0,,0,,0,,0,,0,,0,,0,
842,United States of America,100,Bulgaria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,80407.000,Cubic meters,0,,0,,0,,0,,0,,0,
842,United States of America,112,Belarus,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,95445.000,Cubic meters,0,,0,,0,,0,,0,
842,United States of America,188,Costa Rica,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,45690.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1298.000,Cubic meters,0,
842,United States of America,191,Croatia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,201533.000,Cubic meters,259789.000,Cubic meters,122359.000,Cubic meters,0,,0,,134530.000,Cubic meters,0,,0,
842,United States of America,212,Dominica,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,79500.000,Cubic meters,0,,0,,0,
