reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
699,India,064,Bhutan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,,,,1.000,Tons,0,,0,,0,,0,,0,,0,,12.000,Tons,,,,,,,0,,1.000,Tons,5.000,Tons,0.000,Tons,2.000,Tons,0,,0,,0,,0,,0,
699,India,144,Sri Lanka,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,94795.000,Tons,94501.000,Tons,63043.000,Tons,94266.000,Tons,1.000,Tons,0.000,Tons,32.000,Tons,6.000,Tons,80.000,Tons,183.000,Tons,4.000,Tons,0.000,Tons,23.000,Tons,18.000,Tons,,,0,,0,,0,,0,,0,,2.000,Tons,0,
699,India,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,
699,India,188,Costa Rica,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,17.000,Tons,17.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
699,India,214,Dominican Republic,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,59.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
699,India,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0.000,Tons,0.000,Tons,0,,0,,0,,0,,0,
699,India,320,Guatemala,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,18.000,Tons,53.000,Tons,0,,0,,0,,0,,0,,0,,0,,15.000,Tons,0,
699,India,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,57.000,Tons,63.000,Tons,0,,0,,0,,0,,16.000,Tons,0,,0,,17.000,Tons,75.000,Tons,17.000,Tons,16.000,Tons,17.000,Tons,0,,0,,0,,0,,0,,0,
699,India,404,Kenya,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,5.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
699,India,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,81228.000,Tons,0,,47261.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2810.000,Tons,0,,0,,0,
699,India,442,Luxembourg,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0.000,Tons,0,,0,
699,India,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
699,India,508,Mozambique,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
699,India,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.000,Tons,0,,0,,9.000,Tons,0,,0,,0,,0,,17810.000,Tons,0,,0,,0,,0,,0,
699,India,646,Rwanda,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2.000,Tons,0,,0,
699,India,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,32857.000,Tons,0,,0,,0,,0,,0,,0.000,Tons,0.000,Tons,0.000,Tons,0,,0,,0,,0,,0,,379.000,Tons,239.000,Tons,0,,0,,0,,0,,0,,0,,0,
699,India,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,19.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,37786.000,Tons,0,,0,,0,,47735.000,Tons,0,,0,,0,,0,
699,India,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,
699,India,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,27619.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
699,India,780,Trinidad and Tobago,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,46609.000,Tons,15.000,Tons,94123.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
