reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
699,India,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,India,064,Bhutan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,1,0,0,0,0,0,0,12,,,,0,3,14,1,4,0,0,0,0,0
699,India,188,Costa Rica,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,India,214,Dominican Republic,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
699,India,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
699,India,288,Ghana,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,0,0,0,0,0,0,0,0,0,0,24,0,42940,0,0,0,0,,0,0,0,0,
699,India,340,Honduras,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0,0,0,0,0,0,
699,India,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,58,62,0,0,0,0,24,0,0,14,53,13,15,15,0,0,0,0,0,0
699,India,400,Jordan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
699,India,404,Kenya,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
699,India,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,29512,0,25577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2188,0,0,0
699,India,422,Lebanon,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
699,India,428,Latvia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
699,India,442,Luxembourg,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
699,India,454,Malawi,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,15
699,India,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,India,508,Mozambique,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,
699,India,512,Oman,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
699,India,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,4928,0,0,0,0,0
699,India,566,Nigeria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,30,0,2763,0,0,0,0,0,0,0,0,0,0,0,0,0,
699,India,646,Rwanda,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
699,India,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,6927,0,0,0,0,0,0,0,0,0,0,0,0,0,327,236,0,0,0,0,0,0,0
699,India,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,17944,0,0,0,22683,0,0,0,0
699,India,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,India,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,8304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,India,780,Trinidad and Tobago,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,36369,27,111621,0,0,0,0,0,0,0,0,0,0,0,0,0
699,India,784,United Arab Emirates,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,815,,0,100,,,,0,0,0,0,0,1,20,1,8468,58,0,215,0,
699,India,800,Uganda,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,4,0,0,0,0,0,55,0,0,79,0,27,12,5,1,0,0,0,0,0,
699,India,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,21836,0,0,0,0,0,0,0,0,0,0,0,0,0
699,India,834,"Tanzania, United Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,1,42,1,1,0,277,410,32,0,0,0,29,0,0,0,0,0,1,0,0,
699,India,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136239,276705,72682,0,0,0,11,0,105
699,India,887,Yemen,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,0,0,0,315,48,152,0,0,0,0,0,0,,,,,,,,0,0,
699,India,894,Zambia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,65,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
699,India,050,Bangladesh,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,,,,,,,
699,India,231,Ethiopia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,1,13,0,1,0,0,0,0,1,0,36,0,0,0,0,0,,
699,India,466,Mali,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,5,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,,
699,India,524,Nepal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,26,,,,,,7,0,5,0,1,0,26,48,87,11,0,1,1,0,,,
699,India,729,Sudan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,,,,,,,,0,0,0,129,24,199,0,,,,,,,
699,India,736,Sudan (before 2012),2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,400,44,,,,,,,,,,,,,,
699,India,862,"Venezuela, Bolivarian Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,
