reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand)
566,Nigeria,226,Equatorial Guinea,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,23044,3358183,2670977,1014627,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,246,Finland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,655411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,260,French Southern and Antarctic Territories,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,288,Ghana,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",354198,451297,,,1483578,765941,1314964,277993,428212,735746,780373,858456,523549,113308,320702,115797,30975,230452,126599,103259,0,0,0
566,Nigeria,372,Ireland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,247344,1008463,271363,272852,54190,13307,28786,61982,0,10828,0,0,0,0
566,Nigeria,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",550010,965611,,,1113140,311159,194819,56722,146970,149483,432146,115279,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",41258,94403,,,2078635,473038,198770,0,0,0,0,0,0,0,0,0,126365,114038,105748,141050,331150,62306,0
566,Nigeria,440,Lithuania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,118846,0,0,0,0,0,0,0,0,0
566,Nigeria,454,Malawi,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,111853,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,470,Malta,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,92702,0,0,0,0,0,0,0,0,0,0
566,Nigeria,484,Mexico,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",22286,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,490,"Taipei, Chinese",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",157212,240513,,,0,61539,105310,61947,0,998766,232977,102927,97538,0,0,44525,65432,0,84446,215354,116277,0,0
566,Nigeria,531,Curaçao,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,47838,0,0,0,0,0,0,0,0,0
566,Nigeria,533,Aruba,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,44710,0,0,0,0,0,0,0,0,0
566,Nigeria,540,New Caledonia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",25731,28778,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,554,New Zealand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,590986,395189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,562,Niger,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,37154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,568,Europe Othr. Nes,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,198090,0,100723,60929,0,0,99639,0,0,0,0,0,0
